img_file;Image size (pixels);Aspect ratio;RMS contrast;Luminance entropy;Complexity;Edge density;Color entropy;mean R channel;mean G channel;mean B channel (RGB);mean L channel;mean a channel;mean b channel (Lab);mean H channel;mean S channel;mean V channel;std R channel;std G channel;std B channel;std L channel;std a channel;std b channel (Lab);std H channel;std S channel;std V channel;Mirror symmetry;DCM distance;DCM x position;DCM y position;Balance;CNN symmetry left-right;CNN symmetry up-down;CNN symmetry left-right & up-down;Slope Redies;Slope Spehar;Slope Mather;Fourier sigma;2D Fractal dimension;3D Fractal dimension;Self-similarity (PHOG);Self-similarity (CNN);Anisotropy;Homogeneity;1st-order EOE;2nd-order EOE;Sparseness;Variability;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\Image_files_protected.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1905_345930.png;856;0.712;2.024;0.9117;0.06114;1.691;0.0;10.097;10.097;10.097;2.905;-0.0001844;0.0003496;0.0;0.0;0.0396;7.036;7.036;7.036;2.024;0.0001285;0.0002436;0.0;0.0;0.02759;22.484;17.209;0.002809;-0.086;23.047;0.8872;0.7186;0.7291;-3.063;-1.372;-1.446;0.006846;0.7972;2.099;0.2011;0.3885;0.002756;96.628;3.909;2.751;0.0007115;5,94E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1909_345931.png;852;0.704;2.046;0.9261;0.06747;1.858;0.0;5.12;5.12;5.12;1.473;-9,35E-02;0.0001772;0.0;0.0;0.02008;7.112;7.112;7.112;2.046;0.0001299;0.0002462;0.0;0.0;0.02789;39.943;20.06;-0.08807;-0.048;38.225;0.6686;0.6704;0.6913;-3.072;-1.407;-1.461;0.0006489;0.7663;2.104;0.2081;0.3849;0.002667;90.842;4.259;3.134;0.0006929;6,85E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1910_345899.png;855;0.71;2.156;0.9988;0.08882;2.209;0.0;7.805;7.805;7.805;2.245;-0.0001426;0.0002702;0.0;0.0;0.03061;7.494;7.494;7.494;2.156;0.0001369;0.0002594;0.0;0.0;0.02939;25.64;35.0;-0.1535;-0.084;31.339;0.6647;0.6702;0.6265;-3.07;-1.358;-1.451;0.0009416;0.8029;2.069;0.1831;0.3852;0.003015;91.02;3.906;3.332;0.0006971;6,88E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1912_345891.png;956;0.912;1.949;0.8627;0.07051;2.176;0.0;10.72;10.72;10.72;3.084;-0.0001958;0.0003711;0.0;0.0;0.04204;6.774;6.774;6.774;1.949;0.0001237;0.0002345;0.0;0.0;0.02656;14.421;12.387;-0.01535;-0.06;13.68;0.7037;0.6038;0.6046;-3.038;-1.387;-1.481;0.002592;0.8691;2.292;0.2584;0.3742;0.002454;97.555;4.337;3.597;0.0006839;8,63E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1912_345901.png;867;0.734;2.024;0.912;0.07464;2.014;0.0;10.093;10.093;10.093;2.903;-0.0001843;0.0003494;0.0;0.0;0.03958;7.038;7.038;7.038;2.024;0.0001285;0.0002436;0.0;0.0;0.0276;18.94;14.639;0.07221;-0.012;17.962;0.6426;0.6727;0.6852;-3.037;-1.333;-1.466;0.004046;0.779;2.066;0.2123;0.3884;0.002708;96.06;4.248;2.949;0.000692;7,14E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1912_345915.png;966;0.932;2.156;0.9991;0.06005;1.917;0.0;7.242;7.242;7.242;2.083;-0.0001323;0.0002507;0.0;0.0;0.0284;7.496;7.496;7.496;2.156;0.0001369;0.0002595;0.0;0.0;0.02939;17.448;7.967;0.03648;-0.016;22.517;0.6334;0.6454;0.7098;-3.065;-1.416;-1.458;0.0007568;0.833;2.197;0.1938;0.3818;0.002873;97.728;4.031;3.042;0.0006975;8,65E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1913_345900.png;962;0.924;2.157;0.9998;0.06301;1.977;0.0;7.635;7.635;7.635;2.196;-0.0001394;0.0002643;0.0;0.0;0.02994;7.499;7.499;7.499;2.157;0.000137;0.0002596;0.0;0.0;0.02941;36.148;3.866;0.01515;0.012;16.675;0.7012;0.6758;0.6735;-3.045;-1.398;-1.455;0.003637;0.8606;2.159;0.2217;0.3829;0.002739;90.881;4.15;2.825;0.0006947;8,00E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1913_345906.png;956;0.912;1.841;0.7042;0.09055;2.727;0.0;3.061;3.061;3.061;0.8954;-5,69E-02;0.0001078;0.0;0.0;0.012;6.293;6.293;6.293;1.841;0.0001169;0.0002215;0.0;0.0;0.02468;70.479;31.641;0.02632;0.156;40.615;0.726;0.6554;0.6222;-3.117;-1.367;-1.48;0.001953;0.9444;2.159;0.1643;0.3679;0.002579;74.824;4.466;3.862;0.0006736;8,71E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1915_345935.png;838;1.479;0.322;0.3219;0.01065;0.3595;0.0;0.293;0.293;0.293;0.08035;-5,10E-03;9,67E-03;0.0;0.0;0.001149;1.174;1.174;1.174;0.322;2,04E-02;3,88E-02;0.0;0.0;0.004606;91.593;89.623;-0.438;-0.09467;78.756;0.9258;0.971;0.9259;-3.016;nan;nan;0.004161;0.9101;2.19;0.06165;0.6;0.004023;49.806;3.343;2.755;0.0007468;5,64E-04;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1917_345914.png;911;0.822;1.855;0.8026;0.06684;1.895;0.0;11.331;11.331;11.331;3.259;-0.0002069;0.0003923;0.0;0.0;0.04443;6.448;6.448;6.448;1.855;0.0001178;0.0002232;0.0;0.0;0.02529;11.606;11.685;0.05718;-0.012;13.833;0.6797;0.7123;0.6788;-3.035;-1.378;-1.471;0.006185;0.7729;2.233;0.2305;0.3815;0.0028;97.059;4.093;2.809;0.0006957;7,40E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\alexej-von-jawlensky\1918_345895.png;866;0.732;2.336;0.9976;0.1062;2.918;0.0;7.538;7.538;7.538;2.205;-0.00014;0.0002654;0.0;0.0;0.02956;7.987;7.987;7.987;2.336;0.0001483;0.0002812;0.0;0.0;0.03132;36.462;13.905;-0.02186;-0.066;28.718;0.6367;0.5824;0.6265;-3.069;-1.386;-1.477;0.002723;0.7944;2.155;0.2929;0.65;0.002414;91.061;4.435;3.676;0.0006596;1,04E-02;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\august-macke\1910_249261.png;843;0.686;1.563;1.507;0.1054;2.511;0.0;4.347;4.347;4.347;1.23;-7,81E-02;0.000148;0.0;0.0;0.01705;5.428;5.428;5.428;1.563;9,92E-02;0.0001881;0.0;0.0;0.02129;64.242;38.797;-0.0277;-0.192;42.693;0.6277;0.6665;0.6042;-2.952;-1.336;-1.435;0.002239;0.9085;2.186;0.2932;0.5843;0.002118;80.106;4.367;4.089;0.0006363;6,44E-03;
C:\Users\sblee\OneDrive\Documenten\python\Aesthetics-Toolbox-main\Aesthetics-Toolbox-main\art\DRAM_processed\DRAM_processed\labels\expressionism\august-macke\1911_249272.png;889;1.285;1.985;0.7871;0.07837;2.175;0.0;3.764;3.764;3.764;1.101;-6,99E-02;0.0001325;0.0;0.0;0.01476;6.787;6.787;6.787;1.985;0.000126;0.0002389;0.0;0.0;0.02661;58.722;40.115;-0.146;0.1375;54.692;0.6215;0.6255;0.5887;-3.094;-1.387;-1.443;0.002403;0.8371;2.031;0.1694;0.3744;0.002479;77.27;4.518;3.74;0.0006874;6,30E-03;
