img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacob-jordaens_kitchen-scene.jpg,3285,1.377,24.077,7.775,8.697,204.389,5.549,123.169,103.101,78.194,43.964,4.84,17.164,0.1001,0.424,0.4879,61.073,60.586,53.885,24.077,7.814,9.808,0.07884,0.1963,0.238,35.252,6.028,-0.01235,0.0275,10.548,0.5822,0.5879,0.5657,-2.46,-2.138,-1.912,0.01309,1.516,2.591,0.8557,0.865,0.0002575,98.336,4.456,4.517,0.000138,8.931e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacob-jordaens_love-of-cupid-and-psyche-1652.jpg,2985,1.16,15.177,6.703,4.064,99.22,4.912,59.509,33.79,19.694,15.956,9.948,12.869,0.06576,0.5699,0.2337,51.596,29.225,14.316,15.177,9.903,13.714,0.05606,0.2054,0.202,61.66,5.978,-0.01466,0.02605,8.277,0.5801,0.53,0.5047,-2.71,-1.993,-1.708,0.007993,1.418,2.453,0.6849,0.8056,0.000537,96.793,4.434,4.37,0.0001486,1.778e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacob-jordaens_portrait-of-a-young-married-couple-1620.jpg,3228,0.7486,22.74,7.182,7.019,69.557,5.632,65.114,60.833,41.075,24.703,-1.346,11.81,0.2,0.4188,0.2658,60.607,53.112,41.739,22.74,5.744,10.318,0.0838,0.1686,0.2336,49.001,25.414,-0.07742,0.1008,19.799,0.3289,0.3818,0.377,-2.742,-1.138,-1.044,0.00956,1.484,2.615,0.7995,0.8096,0.0001296,91.817,4.424,4.431,0.0001321,1.424e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacob-jordaens_satyr-and-peasant-1620-1.jpg,3126,1.262,21.173,7.221,5.862,116.583,5.226,84.578,52.922,27.176,24.767,10.907,20.035,0.08863,0.6813,0.3344,65.308,46.383,34.112,21.173,11.628,15.47,0.06074,0.1907,0.2558,44.455,12.709,0.05619,0.02967,12.629,0.51,0.539,0.4628,-2.681,-1.792,-1.34,0.008524,1.432,2.491,0.7514,0.8016,0.000329,96.264,3.892,4.196,0.0001504,1.399e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacob-jordaens_self-portrait.jpg,3090,0.8091,21.062,7.018,6.084,60.471,5.137,85.053,38.759,19.02,21.369,18.111,20.049,0.01773,0.741,0.3336,70.27,44.192,19.363,21.062,13.71,19.415,0.04959,0.1528,0.2755,56.27,18.449,-0.06368,0.06674,6.973,0.4216,0.4323,0.4024,-2.808,-1.416,-1.111,0.02227,1.481,2.564,0.7807,0.772,0.0001558,93.944,4.475,4.359,0.0001712,1.659e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacoba-van-heemskerck_composition-1914.jpg,3167,1.292,32.318,7.024,12.237,260.69,4.605,106.751,107.374,99.197,43.015,-1.81,4.443,0.1801,0.1246,0.4234,81.046,81.587,78.263,32.318,1.485,2.44,0.06749,0.1226,0.319,48.687,2.91,-0.004762,0.01375,10.066,0.5995,0.5858,0.5711,-2.376,-2.118,-1.617,0.00522,1.368,2.519,0.7642,0.8753,0.0005571,98.423,4.048,4.406,0.000196,8.831e-06,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacopo-bellini_ross-and-rider.jpg,3372,1.44,13.023,6.599,5.687,74.063,2.089,185.996,187.706,186.568,75.728,-0.8077,0.3877,0.3748,0.01326,0.7367,33.883,34.488,35.203,13.023,0.374,0.7243,0.1344,0.008332,0.136,4.047,5.591,0.00804,-0.02677,12.2,0.5057,0.4264,0.4371,-2.63,-1.536,-1.385,0.003179,1.63,2.588,0.7573,0.7963,0.000215,95.214,4.027,4.235,0.000242,1.558e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacopo-pontormo_vertumnus-and-pomona.jpg,3862,1.795,19.451,7.476,11.059,133.33,5.797,154.482,141.977,110.776,58.826,0.3072,18.457,0.1334,0.3057,0.611,49.424,49.956,51.629,19.451,6.029,13.194,0.1107,0.1942,0.1938,17.489,5.075,-0.001613,-0.02533,15.215,0.716,0.506,0.5065,-2.019,-1.68,-1.039,0.00676,1.696,2.727,0.6751,0.851,0.0003511,98.929,4.561,4.48,0.0001192,1.373e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacopo-pontormo_visitation-1.jpg,3265,0.7339,21.282,7.638,4.063,102.547,5.953,116.487,98.99,81.757,42.382,4.361,12.323,0.1055,0.2701,0.4602,60.111,50.124,43.206,21.282,9.152,9.787,0.09745,0.1769,0.234,23.435,8.28,-0.007959,0.04063,8.409,0.4722,0.4323,0.3886,-2.982,-1.885,-1.699,0.005081,1.376,2.46,0.8102,0.818,0.0002857,97.59,4.477,4.483,0.0001796,1.934e-05,
C:\Users\sblee\Downloads\Aesthetics-Toolbox-main\split_2\artemis_jacques-villon_l-espagnole-1928.jpg,3578,0.6293,19.808,6.335,3.25,133.591,6.229,213.243,201.88,201.142,82.009,4.136,2.515,0.6012,0.114,0.8529,49.25,57.021,58.503,19.808,13.869,9.536,0.3159,0.1683,0.1912,5.599,15.392,0.0007236,0.07696,12.282,0.6424,0.4227,0.4152,-2.781,-2.217,-2.144,0.02075,1.402,2.4,0.5626,0.7976,0.0007591,87.259,4.38,4.492,0.0004826,2.499e-05,
